                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.59226,                0.31134,                0.96416,                0.99329,                      1,                  0.995,                0.89367,                0.55229,                0.27897,                0.89572,             0.00083083,             0.00083083,             0.00083083
                    155,                0.55984,                0.28988,                  0.959,                0.99896,                      1,                  0.995,                0.89003,                 0.5763,                0.29517,                0.93846,             0.00082533,             0.00082533,             0.00082533
                    156,                0.53116,                0.29767,                0.95066,                0.99486,                      1,                  0.995,                0.89689,                0.56919,                 0.2919,                0.94319,             0.00081983,             0.00081983,             0.00081983
                    157,                0.57301,                0.30876,                0.95239,                0.99419,                      1,                  0.995,                0.89753,                0.57958,                0.27858,                0.93974,             0.00081433,             0.00081433,             0.00081433
                    158,                 0.5631,                0.29944,                0.98477,                0.97314,                0.99718,                  0.995,                0.88649,                 0.5961,                0.27602,                0.94104,             0.00080883,             0.00080883,             0.00080883
                    159,                0.54031,                0.30706,                0.95049,                0.98621,                      1,                  0.995,                0.87991,                0.61838,                0.29286,                0.95193,             0.00080333,             0.00080333,             0.00080333
                    160,                0.52711,                0.29453,                0.92483,                0.91492,                0.98423,                  0.995,                0.87259,                0.56151,                0.33618,                 0.9321,             0.00079783,             0.00079783,             0.00079783
                    161,                0.55128,                0.29996,                0.95228,                0.74242,                0.89389,                0.88245,                0.76134,                0.53234,                0.48677,                0.92091,             0.00079233,             0.00079233,             0.00079233
                    162,                0.55236,                0.29415,                0.96308,                0.69586,                0.87693,                0.71701,                0.63488,                0.47759,                0.58418,                0.90751,             0.00078682,             0.00078682,             0.00078682
                    163,                0.57626,                 0.3132,                0.96443,                0.76304,                0.91181,                0.76586,                0.65994,                0.60661,                0.43357,                0.94117,             0.00078132,             0.00078132,             0.00078132
                    164,                0.60018,                0.32127,                 1.0301,                0.75424,                0.89421,                0.79205,                0.68869,                0.58545,                0.44489,                0.94752,             0.00077582,             0.00077582,             0.00077582
                    165,                0.54026,                0.29543,                0.93883,                0.81595,                0.89627,                0.84714,                0.74934,                0.52493,                0.42764,                0.92687,             0.00077032,             0.00077032,             0.00077032
                    166,                0.55462,                0.29112,                 0.9771,                0.99301,                      1,                  0.995,                0.88715,                0.53752,                0.28289,                0.92014,             0.00076482,             0.00076482,             0.00076482
                    167,                0.56646,                0.29577,                0.96698,                0.99144,                      1,                  0.995,                0.88542,                0.59025,                0.29729,                0.94597,             0.00075932,             0.00075932,             0.00075932
                    168,                0.54968,                 0.2832,                0.96682,                0.99898,                      1,                  0.995,                0.88844,                0.54433,                0.25816,                0.92134,             0.00075382,             0.00075382,             0.00075382
                    169,                0.55181,                0.31587,                0.95982,                 0.9922,                      1,                  0.995,                0.85201,                0.52971,                0.26145,                0.90771,             0.00074832,             0.00074832,             0.00074832
                    170,                0.54646,                0.29243,                0.93993,                 0.7816,                0.90425,                  0.995,                0.84694,                0.53877,                0.46035,                0.91718,             0.00074282,             0.00074282,             0.00074282
