                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69511,                0.49063,                 1.0354,                0.88931,                 0.3769,                0.92151,                0.69576,                0.93244,                 2.3568,                 1.1774,                0.00148,                0.00148,                0.00148
                     37,                0.69757,                0.46876,                 1.0275,                0.69496,                      1,                0.88419,                0.66244,                 1.0406,                 1.9624,                 1.3323,              0.0014745,              0.0014745,              0.0014745
                     38,                0.70061,                0.54023,                 1.0264,                  0.962,                      1,                  0.995,                0.84726,                0.62977,                0.38727,                0.95822,               0.001469,               0.001469,               0.001469
                     39,                0.67393,                 0.4442,                 1.0066,                0.97623,                      1,                  0.995,                0.86389,                0.68189,                0.38839,                0.97755,              0.0014635,              0.0014635,              0.0014635
                     40,                0.69321,                0.42255,                 1.0039,                0.85136,                0.87553,                0.98205,                0.79434,                0.97359,                 1.1877,                 1.1397,               0.001458,               0.001458,               0.001458
                     41,                0.65211,                 0.4143,                0.99001,                0.96698,                0.96462,                  0.995,                0.83174,                 0.7429,                0.42774,                 1.0012,              0.0014525,              0.0014525,              0.0014525
                     42,                0.74104,                0.44527,                 1.0444,                0.99421,                      1,                  0.995,                 0.8558,                0.71132,                0.39619,                0.99438,               0.001447,               0.001447,               0.001447
                     43,                0.68855,                0.41353,                 1.0279,                0.91402,                      1,                0.96777,                0.83139,                 0.6708,                0.50709,                0.98012,              0.0014415,              0.0014415,              0.0014415
                     44,                0.70617,                0.41574,                 1.0414,                0.91106,                    0.5,                0.43926,                0.37239,                0.62119,                 1.6337,                0.96563,               0.001436,               0.001436,               0.001436
                     45,                0.63622,                0.40609,                0.99199,                0.99454,                      1,                  0.995,                0.86759,                0.65865,                 0.3469,                0.98758,              0.0014305,              0.0014305,              0.0014305
                     46,                0.65689,                0.40332,                0.99213,                0.96725,                0.89431,                  0.995,                0.82577,                0.68627,                0.47119,                0.97349,               0.001425,               0.001425,               0.001425
                     47,                 0.6979,                0.40461,                 1.0083,                0.78761,                0.89384,                  0.995,                0.84016,                0.64544,                0.54943,                0.95444,              0.0014195,              0.0014195,              0.0014195
                     48,                0.67965,                0.41528,                  1.024,                0.91548,                 0.8945,                  0.995,                0.84804,                0.59342,                0.44619,                0.93459,              0.0014139,              0.0014139,              0.0014139
                     49,                0.64503,                0.38504,                0.99623,                0.98068,                0.93556,                  0.995,                 0.8041,                0.75864,                 0.3982,                 1.0377,              0.0014084,              0.0014084,              0.0014084
                     50,                0.71024,                0.41519,                 1.0564,                0.91102,                    0.5,                0.46836,                0.38858,                0.80573,                  1.709,                 1.0138,              0.0014029,              0.0014029,              0.0014029
                     51,                0.77872,                0.49123,                 1.0414,                0.77936,                0.89401,                0.99313,                0.82477,                0.71117,                 0.6774,                 1.0016,              0.0013974,              0.0013974,              0.0013974
                     52,                0.73917,                0.46858,                 1.0647,                0.58978,                0.92857,                0.82028,                0.70208,                0.63287,                 1.0491,                0.94691,              0.0013919,              0.0013919,              0.0013919
                     53,                0.71303,                0.42187,                 1.0303,                0.92875,                0.68392,                0.98912,                0.51684,                 1.0873,                 1.1025,                 1.3348,              0.0013864,              0.0013864,              0.0013864
                     54,                0.65157,                0.40425,                0.99076,                0.63026,                0.76788,                0.74147,                0.47363,                 1.0394,                 1.4205,                 1.2942,              0.0013809,              0.0013809,              0.0013809
                     55,                0.64231,                0.41477,                 1.0044,                0.70957,                0.87916,                0.71987,                0.49294,                0.85419,                0.95883,                 1.1423,              0.0013754,              0.0013754,              0.0013754
                     56,                0.67219,                0.42476,                 1.0128,                0.96466,                0.96712,                  0.995,                0.85335,                0.64873,                0.42484,                 1.0032,              0.0013699,              0.0013699,              0.0013699
                     57,                0.64088,                0.36958,                0.98706,                0.98576,                      1,                  0.995,                0.86381,                 0.5841,                0.35327,                0.95798,              0.0013644,              0.0013644,              0.0013644
                     58,                 0.6909,                0.49598,                  1.033,                0.63462,                0.83333,                0.89768,                0.81432,                0.52179,                 1.4983,                0.93338,              0.0013589,              0.0013589,              0.0013589
